Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,4342.4,0,20:25.9,02:21.2,3.54,00:00.0,0,30.5,526,8.3,0,153,---,---,---,---,---,---,---,---,---,52.236077,0.1735645
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Per-Stroke Data:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1,114.5,0,00:25.4,01:32.9,5.38,00:00.0,0,42,18,6.5,0,162,---,---,---,---,---,---,---,---,---,52.2352564,0.1726057
1,123.4,0,00:26.9,01:33.4,5.35,00:00.0,0,42,19,8.9,0,164,---,---,---,---,---,---,---,---,---,52.2351921,0.1725271
1,130,0,00:28.4,01:34.1,5.31,00:00.0,0,41,20,6.6,0,165,---,---,---,---,---,---,---,---,---,52.2351462,0.1724656
1,138.1,0,00:29.8,01:33.9,5.32,00:00.0,0,39,21,8.1,0,166,---,---,---,---,---,---,---,---,---,52.2350872,0.1723958
1,145.3,0,00:31.4,01:33.9,5.32,00:00.0,0,40.5,22,7.2,0,167,---,---,---,---,---,---,---,---,---,52.2350349,0.1723332
1,153.1,0,00:32.8,01:35.4,5.24,00:00.0,0,39,23,7.7,0,167,---,---,---,---,---,---,---,---,---,52.2349795,0.1722652
1,160,0,00:34.4,01:38.0,5.1,00:00.0,0,40.5,24,7,0,168,---,---,---,---,---,---,---,---,---,52.2349281,0.1722066
1,168.2,0,00:35.9,01:41.6,4.92,00:00.0,0,38.5,25,8.2,0,169,---,---,---,---,---,---,---,---,---,52.2348684,0.1721372
1,174.2,0,00:37.4,01:42.0,4.9,00:00.0,0,39.5,26,6.1,0,169,---,---,---,---,---,---,---,---,---,52.2348248,0.1720842
1,182.6,0,00:39.0,01:41.0,4.95,00:00.0,0,40,27,8.3,0,170,---,---,---,---,---,---,---,---,---,52.2347664,0.1720076
1,188.5,0,00:40.4,01:42.0,4.9,00:00.0,0,39,28,5.9,0,170,---,---,---,---,---,---,---,---,---,52.2347229,0.1719567
1,196.9,0,00:42.0,01:42.4,4.88,00:00.0,0,40.5,29,8.4,0,171,---,---,---,---,---,---,---,---,---,52.2346573,0.1718968
1,203,0,00:43.4,01:41.6,4.92,00:00.0,0,38.5,30,6.1,0,171,---,---,---,---,---,---,---,---,---,52.2346082,0.1718566
1,211.2,0,00:45.0,01:42.0,4.9,00:00.0,0,39.5,31,8.2,0,171,---,---,---,---,---,---,---,---,---,52.2345424,0.1718035
1,217.2,0,00:46.4,01:42.4,4.88,00:00.0,0,40,32,6,0,172,---,---,---,---,---,---,---,---,---,52.2344925,0.1717705
1,225.6,0,00:48.0,01:41.6,4.92,00:00.0,0,38.5,33,8.4,0,172,---,---,---,---,---,---,---,---,---,52.2344224,0.171725
1,231.5,0,00:49.4,01:41.0,4.95,00:00.0,0,38.5,34,6,0,173,---,---,---,---,---,---,---,---,---,52.2343728,0.1716912
1,240.8,0,00:51.2,01:42.6,4.87,00:00.0,0,38.5,35,9.3,0,173,---,---,---,---,---,---,---,---,---,52.2342939,0.1716475
1,246.8,0,00:52.5,01:44.1,4.8,00:00.0,0,39,36,5.9,0,174,---,---,---,---,---,---,---,---,---,52.234242,0.171627
1,255.2,0,00:54.2,01:45.0,4.76,00:00.0,0,40.5,37,8.4,0,174,---,---,---,---,---,---,---,---,---,52.2341686,0.1715985
1,261.9,0,00:55.6,01:43.3,4.84,00:00.0,0,38.5,38,6.7,0,175,---,---,---,---,---,---,---,---,---,52.2341084,0.1715869
1,269.4,0,00:57.2,01:44.1,4.8,00:00.0,0,38.5,39,7.5,0,175,---,---,---,---,---,---,---,---,---,52.234042,0.1715713
1,276,0,00:58.6,01:44.8,4.77,00:00.0,0,38.5,40,6.7,0,175,---,---,---,---,---,---,---,---,---,52.2339827,0.1715563
1,284.4,0,01:00.4,01:44.1,4.8,00:00.0,0,38.5,41,8.4,0,175,---,---,---,---,---,---,---,---,---,52.2339084,0.171534
1,291.1,0,01:01.8,01:45.7,4.73,00:00.0,0,38.5,42,6.6,0,176,---,---,---,---,---,---,---,---,---,52.2338491,0.1715234
1,298.8,0,01:03.4,01:45.4,4.74,00:00.0,0,37,43,7.7,0,176,---,---,---,---,---,---,---,---,---,52.2337804,0.1715148
1,306.2,0,01:05.0,01:45.4,4.74,00:00.0,0,38.5,44,7.5,0,176,---,---,---,---,---,---,---,---,---,52.2337139,0.1715017
1,313.5,0,01:06.6,01:47.7,4.64,00:00.0,0,38.5,45,7.3,0,176,---,---,---,---,---,---,---,---,---,52.2336491,0.1714867
1,321,0,01:08.2,01:48.2,4.62,00:00.0,0,38.5,46,7.5,0,176,---,---,---,---,---,---,---,---,---,52.2335825,0.1714722
1,327.6,0,01:09.6,01:46.1,4.71,00:00.0,0,37.5,47,6.7,0,176,---,---,---,---,---,---,---,---,---,52.233523,0.1714611
1,334.9,0,01:11.2,01:47.7,4.64,00:00.0,0,38.5,48,7.3,0,177,---,---,---,---,---,---,---,---,---,52.2334579,0.1714496
1,342.2,0,01:12.8,01:49.6,4.56,00:00.0,0,38.5,49,7.3,0,177,---,---,---,---,---,---,---,---,---,52.2333927,0.1714376
1,349.5,0,01:14.4,01:50.1,4.54,00:00.0,0,37,50,7.3,0,177,---,---,---,---,---,---,---,---,---,52.233328,0.1714252
1,356.9,0,01:16.0,01:49.6,4.56,00:00.0,0,38.5,51,7.4,0,177,---,---,---,---,---,---,---,---,---,52.2332617,0.1714125
1,364.1,0,01:17.6,01:47.0,4.67,00:00.0,0,37,52,7.2,0,177,---,---,---,---,---,---,---,---,---,52.2331975,0.1713973
1,371.4,0,01:19.4,01:48.9,4.59,00:00.0,0,37,53,7.3,0,177,---,---,---,---,---,---,---,---,---,52.2331323,0.1713855
