Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,8200.2,0,40:52.3,02:29.7,3.34,00:00.0,0,28,879,9.3,0,---,---,---,---,---,---,---,---,---,---,52.2105662,0.1326208
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Per-Stroke Data:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1,209.1,0,01:02.9,02:18.5,3.61,00:00.0,0,16.5,17,12.9,0,---,---,---,---,---,---,---,---,---,---,52.2105628,0.135518
1,235,0,01:12.9,03:44.2,2.23,00:00.0,0,26.5,18,25.9,0,---,---,---,---,---,---,---,---,---,---,52.2109296,0.1364791
1,250.7,0,01:18.9,05:03.0,1.65,00:00.0,0,15.5,19,15.7,0,---,---,---,---,---,---,---,---,---,---,52.2110155,0.1366616
1,273.4,0,01:27.7,02:54.2,2.87,00:00.0,0,15.5,20,22.7,0,---,---,---,---,---,---,---,---,---,---,52.2111617,0.1371284
1,304.3,0,01:37.4,02:37.7,3.17,00:00.0,0,29,21,30.8,0,---,---,---,---,---,---,---,---,---,---,52.2112383,0.1376428
1,332.9,0,01:47.0,03:10.1,2.63,00:00.0,0,33.5,22,28.7,0,---,---,---,---,---,---,---,---,---,---,52.2112432,0.1385117
1,338,0,01:48.5,03:22.4,2.47,00:00.0,0,29.5,23,5,0,---,---,---,---,---,---,---,---,---,---,52.2112419,0.1385851
1,349.6,0,01:52.1,02:44.4,3.04,00:00.0,0,16.5,24,11.7,0,---,---,---,---,---,---,---,---,---,---,52.2112378,0.1387558
1,361.8,0,01:55.5,02:31.0,3.31,00:00.0,0,17.5,25,12.2,0,---,---,---,---,---,---,---,---,---,---,52.2112283,0.1389333
1,374.3,0,01:59.1,02:20.8,3.55,00:00.0,0,17,26,12.5,0,---,---,---,---,---,---,---,---,---,---,52.2112139,0.1391156
1,387.5,0,02:02.5,02:15.1,3.7,00:00.0,0,18,27,13.2,0,---,---,---,---,---,---,---,---,---,---,52.2112023,0.1393084
1,400.1,0,02:05.9,02:13.6,3.74,00:00.0,0,17.5,28,12.6,0,---,---,---,---,---,---,---,---,---,---,52.2112065,0.1394932
1,431.6,0,02:15.3,02:32.9,3.27,00:00.0,0,33.5,29,31.4,0,---,---,---,---,---,---,---,---,---,---,52.2112725,0.1400129
1,456.4,0,02:23.2,02:29.2,3.35,00:00.0,0,7.5,30,24.8,0,---,---,---,---,---,---,---,---,---,---,52.2113477,0.1403549
1,462.3,0,02:25.0,02:47.7,2.98,00:00.0,0,39,31,5.9,0,---,---,---,---,---,---,---,---,---,---,52.2113675,0.1404351
1,467.9,0,02:26.8,02:40.7,3.11,00:00.0,0,29,32,5.6,0,---,---,---,---,---,---,---,---,---,---,52.2113883,0.1405105
1,503.6,0,02:38.0,02:39.2,3.14,00:00.0,0,16.5,33,35.7,0,---,---,---,---,---,---,---,---,---,---,52.2115589,0.1409821
1,538.7,0,02:49.3,02:37.7,3.17,00:00.0,0,16.5,34,35.2,0,---,---,---,---,---,---,---,---,---,---,52.2117592,0.1414247
1,570,0,02:58.9,02:37.2,3.18,00:00.0,0,29.5,35,31.3,0,---,---,---,---,---,---,---,---,---,---,52.2119975,0.1417914
1,591.9,0,03:05.8,02:30.6,3.32,00:00.0,0,8.5,36,21.9,0,---,---,---,---,---,---,---,---,---,---,52.2121597,0.1419742
1,604.5,0,03:09.5,02:31.9,3.29,00:00.0,0,16.5,37,12.5,0,---,---,---,---,---,---,---,---,---,---,52.2122564,0.1420679
1,625.3,0,03:15.9,02:29.7,3.34,00:00.0,0,9.5,38,20.9,0,---,---,---,---,---,---,---,---,---,---,52.2124188,0.1422205
1,637,0,03:19.5,02:32.4,3.28,00:00.0,0,16.5,39,11.7,0,---,---,---,---,---,---,---,---,---,---,52.2125128,0.1422957
1,671.9,0,03:30.8,02:35.2,3.22,00:00.0,0,16,40,34.9,0,---,---,---,---,---,---,---,---,---,---,52.2128213,0.1424965
1,691.9,0,03:37.4,02:39.2,3.14,00:00.0,0,9,41,20.1,0,---,---,---,---,---,---,---,---,---,---,52.2129896,0.1426024
1,702.9,0,03:41.0,02:37.2,3.18,00:00.0,0,16.5,42,11,0,---,---,---,---,---,---,---,---,---,---,52.2130815,0.1426608
1,725.9,0,03:48.2,02:37.7,3.17,00:00.0,0,8,43,23,0,---,---,---,---,---,---,---,---,---,---,52.2132759,0.1427749
