Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,22.0,0.0,00:02:23.6,00:55:33.3,0.15,00:00:00.0,0.00,29.0,40,0.6,0.0,---,---,---,---,---,---,---,---,---,---,52.35283660,0.02770890



Per-Stroke Data:

1,20.2,0.0,00:01:23.0,00:49:01.1,0.17,00:00:00.0,0.00,27.5,15,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.35285090,0.02775850
1,20.2,0.0,00:01:24.0,00:33:20.0,0.25,00:00:00.0,0.00,52.5,16,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.35285210,0.02775330
1,20.2,0.0,00:01:25.3,00:25:15.1,0.33,00:00:00.0,0.00,75.0,17,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.35285590,0.02775080
1,20.2,0.0,00:01:26.4,00:21:22.0,0.39,00:00:00.0,0.00,42.0,18,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.35285970,0.02774640
1,20.2,0.0,00:01:28.4,00:29:45.7,0.28,00:00:00.0,0.00,31.5,19,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.35286060,0.02774710
1,21.7,0.0,00:01:31.3,00:32:03.0,0.26,00:00:00.0,0.00,22.5,20,1.5,0.0,---,---,---,---,---,---,---,---,---,---,52.35287420,0.02773380
1,22.0,0.0,00:01:32.8,00:21:55.7,0.38,00:00:00.0,0.00,33.5,21,0.3,0.0,---,---,---,---,---,---,---,---,---,---,52.35287610,0.02772820
1,22.0,0.0,00:01:34.5,00:27:46.6,0.30,00:00:00.0,0.00,38.5,22,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.35287170,0.02772780
1,22.0,0.0,00:01:37.3,00:29:45.7,0.28,00:00:00.0,0.00,27.5,23,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.35286880,0.02773450
1,22.0,0.0,00:01:39.2,00:37:52.7,0.22,00:00:00.0,0.00,24.0,24,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.35286610,0.02773870
1,22.0,0.0,00:01:40.3,00:36:13.9,0.23,00:00:00.0,0.00,39.0,25,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.35286400,0.02773690
1,22.0,0.0,00:01:43.5,00:26:52.9,0.31,00:00:00.0,0.00,23.0,26,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.35286620,0.02773850
1,22.0,0.0,00:01:45.4,00:28:44.1,0.29,00:00:00.0,0.00,25.5,27,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.35287070,0.02774650
1,22.0,0.0,00:01:49.3,00:36:13.9,0.23,00:00:00.0,0.00,24.0,28,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.35287090,0.02774160
1,22.0,0.0,00:01:51.8,00:39:40.9,0.21,00:00:00.0,0.00,15.5,29,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.35287290,0.02773650
1,22.0,0.0,00:01:53.7,00:26:02.4,0.32,00:00:00.0,0.00,41.0,30,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.35287230,0.02774120
1,22.0,0.0,00:01:56.0,00:30:51.8,0.27,00:00:00.0,0.00,24.5,31,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.35286760,0.02773940
1,22.0,0.0,00:01:57.4,00:52:04.9,0.16,00:00:00.0,0.00,37.5,32,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.35286900,0.02774180
1,22.0,0.0,00:01:59.9,00:37:52.7,0.22,00:00:00.0,0.00,23.0,33,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.35287120,0.02774460
1,22.0,0.0,00:02:02.0,00:39:40.9,0.21,00:00:00.0,0.00,37.0,34,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.35287050,0.02774740
1,22.0,0.0,00:02:09.0,01:04:06.1,0.13,00:00:00.0,0.00,8.5,35,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.35286810,0.02774500
1,22.0,0.0,00:02:10.6,00:34:43.3,0.24,00:00:00.0,0.00,29.5,36,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.35286460,0.02773980
1,22.0,0.0,00:02:13.3,00:28:44.1,0.29,00:00:00.0,0.00,36.5,37,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.35286110,0.02773500
1,22.0,0.0,00:02:18.9,00:29:45.7,0.28,00:00:00.0,0.00,10.5,38,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.35285700,0.02776060
1,22.0,0.0,00:02:20.0,00:23:08.8,0.36,00:00:00.0,0.00,26.0,39,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.35285650,0.02776080
1,22.0,0.0,00:02:21.6,00:30:51.8,0.27,00:00:00.0,0.00,84.0,40,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.35285630,0.02776180
