Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,11512.7,0,05:44.5,02:51.8,2.91,00:00.0,0,20.5,1133,10.2,0,119,---,---,---,---,---,---,---,---,---,52.2104076,0.1342062
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Per-Stroke Data:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1,99.7,0,00:44.3,03:40.2,2.27,00:00.0,0,27.5,18,5,0,76,---,---,---,---,---,---,---,---,---,52.2105496,0.1355632
1,105.2,0,00:46.5,03:40.2,2.27,00:00.0,0,25.5,19,5.5,0,77,---,---,---,---,---,---,---,---,---,52.2105648,0.1356406
1,110.8,0,00:48.9,03:41.2,2.26,00:00.0,0,25,20,5.6,0,78,---,---,---,---,---,---,---,---,---,52.2105774,0.1357201
1,116.4,0,00:51.3,03:43.2,2.24,00:00.0,0,25.5,21,5.5,0,79,---,---,---,---,---,---,---,---,---,52.2105905,0.1357984
1,121.9,0,00:53.7,03:43.2,2.24,00:00.0,0,24.5,22,5.5,0,80,---,---,---,---,---,---,---,---,---,52.2106055,0.1358753
1,127.2,0,00:56.3,03:46.2,2.21,00:00.0,0,25.5,23,5.3,0,81,---,---,---,---,---,---,---,---,---,52.2106221,0.1359479
1,131.9,0,00:58.3,03:49.3,2.18,00:00.0,0,25.5,24,4.7,0,81,---,---,---,---,---,---,---,---,---,52.210642,0.1360088
1,137.1,0,01:00.7,03:50.4,2.17,00:00.0,0,27.5,25,5.3,0,82,---,---,---,---,---,---,---,---,---,52.2106691,0.1360722
1,142.1,0,01:02.9,03:49.3,2.18,00:00.0,0,25.5,26,4.9,0,83,---,---,---,---,---,---,---,---,---,52.2106977,0.1361277
1,147.1,0,01:05.3,03:47.2,2.2,00:00.0,0,26.5,27,5,0,83,---,---,---,---,---,---,---,---,---,52.2107274,0.1361827
1,153.5,0,01:07.9,03:44.2,2.23,00:00.0,0,21,28,6.4,0,84,---,---,---,---,---,---,---,---,---,52.210768,0.1362495
1,160.7,0,01:11.3,03:42.2,2.25,00:00.0,0,19,29,7.2,0,84,---,---,---,---,---,---,---,---,---,52.2108139,0.1363245
1,167.8,0,01:14.3,03:37.3,2.3,00:00.0,0,18.5,30,7.1,0,84,---,---,---,---,---,---,---,---,---,52.2108575,0.1364003
1,176.4,0,01:17.7,03:29.2,2.39,00:00.0,0,19,31,8.6,0,85,---,---,---,---,---,---,---,---,---,52.2109118,0.1364903
1,184.9,0,01:20.9,03:16.8,2.54,00:00.0,0,18,32,8.5,0,86,---,---,---,---,---,---,---,---,---,52.2109674,0.1365755
1,192.6,0,01:24.1,03:13.0,2.59,00:00.0,0,18,33,7.8,0,86,---,---,---,---,---,---,---,---,---,52.2110146,0.1366591
1,200.2,0,01:27.3,03:24.9,2.44,00:00.0,0,19,34,7.6,0,86,---,---,---,---,---,---,---,---,---,52.2110546,0.1367493
1,209.1,0,01:30.7,03:21.6,2.48,00:00.0,0,18.5,35,8.9,0,86,---,---,---,---,---,---,---,---,---,52.211107,0.1368475
1,216.7,0,01:33.7,03:17.6,2.53,00:00.0,0,19,36,7.6,0,86,---,---,---,---,---,---,---,---,---,52.2111383,0.1369466
1,225.8,0,01:37.1,03:25.7,2.43,00:00.0,0,18,37,9.2,0,87,---,---,---,---,---,---,---,---,---,52.2111621,0.1370757
1,235.4,0,01:40.3,03:20.0,2.5,00:00.0,0,18,38,9.5,0,88,---,---,---,---,---,---,---,---,---,52.2111794,0.1372078
1,244.1,0,01:43.7,03:15.3,2.56,00:00.0,0,18.5,39,8.7,0,89,---,---,---,---,---,---,---,---,---,52.2111943,0.137334
1,252.2,0,01:46.9,03:18.4,2.52,00:00.0,0,18,40,8.1,0,90,---,---,---,---,---,---,---,---,---,52.2112015,0.1374533
1,260.3,0,01:50.3,03:19.2,2.51,00:00.0,0,19,41,8,0,91,---,---,---,---,---,---,---,---,---,52.2112068,0.1375707
1,267.9,0,01:53.3,03:19.2,2.51,00:00.0,0,18.5,42,7.6,0,91,---,---,---,---,---,---,---,---,---,52.2112082,0.1376824
1,276.1,0,01:56.4,03:16.0,2.55,00:00.0,0,19.5,43,8.2,0,91,---,---,---,---,---,---,---,---,---,52.211208,0.1378026
1,284.2,0,01:59.5,03:12.3,2.6,00:00.0,0,19,44,8.1,0,92,---,---,---,---,---,---,---,---,---,52.2112071,0.1379214
1,292.9,0,02:02.9,03:11.5,2.61,00:00.0,0,18.5,45,8.8,0,92,---,---,---,---,---,---,---,---,---,52.2112043,0.1380497
1,301.9,0,02:06.3,03:10.8,2.62,00:00.0,0,17.5,46,8.9,0,92,---,---,---,---,---,---,---,---,---,52.211199,0.1381802
1,310.8,0,02:09.7,03:09.3,2.64,00:00.0,0,17.5,47,8.9,0,92,---,---,---,---,---,---,---,---,---,52.2111928,0.1383107
1,319.9,0,02:13.1,03:07.2,2.67,00:00.0,0,17,48,9.1,0,94,---,---,---,---,---,---,---,---,---,52.2111832,0.1384434
1,328.9,0,02:16.5,03:06.5,2.68,00:00.0,0,17.5,49,9,0,95,---,---,---,---,---,---,---,---,---,52.2111697,0.138573
1,337.9,0,02:19.9,03:06.5,2.68,00:00.0,0,17.5,50,9,0,96,---,---,---,---,---,---,---,---,---,52.2111567,0.1387036
1,346.7,0,02:23.3,03:06.5,2.68,00:00.0,0,17.5,51,8.8,0,96,---,---,---,---,---,---,---,---,---,52.2111478,0.1388322
1,357.4,0,02:27.1,03:03.1,2.73,00:00.0,0,16.5,52,10.7,0,96,---,---,---,---,---,---,---,---,---,52.2111415,0.1389883
1,368.2,0,02:30.9,03:00.5,2.77,00:00.0,0,15.5,53,10.8,0,96,---,---,---,---,---,---,---,---,---,52.2111395,0.1391458
1,378.7,0,02:34.5,02:59.2,2.79,00:00.0,0,16,54,10.5,0,96,---,---,---,---,---,---,---,---,---,52.2111437,0.1393003
1,389,0,02:38.3,02:57.9,2.81,00:00.0,0,16,55,10.3,0,97,---,---,---,---,---,---,---,---,---,52.2111587,0.1394497
1,399.5,0,02:41.9,02:58.5,2.8,00:00.0,0,16.5,56,10.4,0,100,---,---,---,---,---,---,---,---,---,52.2111789,0.1395991
1,409.3,0,02:45.5,03:01.1,2.76,00:00.0,0,16.5,57,9.9,0,100,---,---,---,---,---,---,---,---,---,52.2112039,0.1397378
1,419.7,0,02:49.3,03:01.1,2.76,00:00.0,0,16,58,10.4,0,100,---,---,---,---,---,---,---,---,---,52.2112366,0.1398804
1,430,0,02:52.9,02:57.3,2.82,00:00.0,0,16.5,59,10.3,0,99,---,---,---,---,---,---,---,---,---,52.2112682,0.1400222
1,440.9,0,02:56.7,02:55.4,2.85,00:00.0,0,16,60,10.9,0,99,---,---,---,---,---,---,---,---,---,52.2113091,0.140168
1,451.5,0,03:00.3,02:53.0,2.89,00:00.0,0,16.5,61,10.6,0,99,---,---,---,---,---,---,---,---,---,52.2113521,0.140306
1,462.8,0,03:04.1,02:50.0,2.94,00:00.0,0,16,62,11.3,0,99,---,---,---,---,---,---,---,---,---,52.2113945,0.1404563
1,473.8,0,03:07.9,02:49.4,2.95,00:00.0,0,16,63,11,0,99,---,---,---,---,---,---,---,---,---,52.2114337,0.1406042
